seq;par;cuda;cuda_opt
8.812;0.759;7.247;7.087
8.755;0.766;7.281;6.946
8.790;0.783;7.520;6.985
8.574;0.792;7.250;6.970
8.797;0.789;7.272;6.987
9.029;0.739;7.263;7.372
8.799;0.726;7.702;7.418
8.554;0.841;7.231;7.505
8.793;0.766;7.223;7.405
8.707;0.771;7.525;7.371
8.789;0.794;7.586;7.381
8.776;0.729;7.709;6.994
8.827;0.786;7.271;7.186
8.822;0.766;7.267;7.423
8.845;0.753;7.571;7.606
8.574;0.774;7.527;7.411
8.796;0.753;7.246;7.479
8.761;0.775;7.627;6.998
8.804;0.783;7.501;7.416
8.807;0.770;7.507;7.402
